Date,Open,High,Low,Close,Volume,Adj Close
2014-02-28,0.41,0.41,0.41,0.41,000,0.41
2014-02-27,0.41,0.41,0.41,0.41,000,0.41
2014-02-26,0.41,0.41,0.41,0.41,000,0.41
2014-02-25,0.41,0.41,0.41,0.41,000,0.41
2014-02-24,0.41,0.41,0.41,0.41,000,0.41
2014-02-21,0.41,0.41,0.41,0.41,000,0.41
2014-02-20,0.41,0.41,0.41,0.41,000,0.41
2014-02-19,0.41,0.41,0.41,0.41,000,0.41
2014-02-18,0.41,0.41,0.41,0.41,000,0.41
2014-02-17,0.41,0.41,0.41,0.41,000,0.41
2014-02-14,0.41,0.41,0.41,0.41,000,0.41
2014-02-13,0.41,0.41,0.41,0.41,000,0.41
2014-02-12,0.41,0.41,0.41,0.41,000,0.41
2014-02-11,0.41,0.41,0.41,0.41,000,0.41
2014-02-10,0.41,0.41,0.41,0.41,000,0.41
2014-02-07,0.41,0.41,0.41,0.41,000,0.41
2014-02-06,0.41,0.41,0.41,0.41,000,0.41
2014-02-05,0.41,0.41,0.41,0.41,000,0.41
2014-02-04,0.41,0.41,0.41,0.41,000,0.41
2014-02-03,0.41,0.41,0.41,0.41,000,0.41
2014-01-31,0.41,0.41,0.41,0.41,000,0.41
2014-01-30,0.41,0.41,0.41,0.41,000,0.41
2014-01-29,0.41,0.41,0.41,0.41,000,0.41
2014-01-28,0.41,0.41,0.41,0.41,000,0.41
2014-01-27,0.41,0.41,0.41,0.41,000,0.41
2014-01-24,0.41,0.41,0.41,0.41,000,0.41
2014-01-23,0.41,0.41,0.41,0.41,000,0.41
2014-01-22,0.41,0.41,0.41,0.41,000,0.41
2014-01-21,0.41,0.41,0.41,0.41,000,0.41
2014-01-20,0.41,0.41,0.41,0.41,000,0.41
2014-01-17,0.41,0.41,0.41,0.41,000,0.41
2014-01-16,0.41,0.41,0.41,0.41,000,0.41
2014-01-15,0.41,0.41,0.41,0.41,000,0.41
2014-01-14,0.41,0.41,0.41,0.41,000,0.41
2014-01-13,0.41,0.41,0.41,0.41,000,0.41
2014-01-10,0.41,0.41,0.41,0.41,000,0.41
2014-01-09,0.41,0.41,0.41,0.41,000,0.41
2014-01-08,0.41,0.41,0.41,0.41,000,0.41
2014-01-07,0.41,0.41,0.41,0.41,000,0.41
2014-01-06,0.41,0.41,0.41,0.41,000,0.41
2014-01-03,0.41,0.41,0.41,0.41,000,0.41
2014-01-02,0.41,0.41,0.41,0.41,000,0.41
2014-01-01,0.41,0.41,0.41,0.41,000,0.41
2013-12-31,0.41,0.41,0.41,0.41,000,0.41
2013-12-30,0.41,0.41,0.41,0.41,000,0.41
2013-12-27,0.41,0.41,0.41,0.41,000,0.41
2013-12-26,0.41,0.41,0.41,0.41,000,0.41
2013-12-25,0.41,0.41,0.41,0.41,000,0.41
2013-12-24,0.41,0.41,0.41,0.41,000,0.41
2013-12-23,0.41,0.41,0.41,0.41,000,0.41
2013-12-20,0.41,0.41,0.41,0.41,000,0.41
2013-12-19,0.41,0.41,0.41,0.41,000,0.41
2013-12-18,0.41,0.41,0.41,0.41,000,0.41
2013-12-17,0.41,0.41,0.41,0.41,000,0.41
2013-12-16,0.41,0.41,0.41,0.41,000,0.41
2013-12-13,0.41,0.41,0.41,0.41,000,0.41
2013-12-12,0.41,0.41,0.41,0.41,000,0.41
2013-12-11,0.41,0.41,0.41,0.41,000,0.41
2013-12-10,0.41,0.41,0.41,0.41,000,0.41
2013-12-09,0.41,0.41,0.41,0.41,000,0.41
2013-12-06,0.41,0.41,0.41,0.41,000,0.41
2013-12-05,0.41,0.41,0.41,0.41,000,0.41
2013-12-04,0.41,0.41,0.41,0.41,000,0.41
2013-12-03,0.41,0.41,0.41,0.41,000,0.41
2013-12-02,0.41,0.41,0.41,0.41,000,0.41
2013-11-29,0.41,0.41,0.41,0.41,000,0.41
2013-11-28,0.41,0.41,0.41,0.41,000,0.41
2013-11-27,0.41,0.41,0.41,0.41,000,0.41
2013-11-26,0.41,0.41,0.41,0.41,000,0.41
2013-11-25,0.41,0.41,0.41,0.41,000,0.41
2013-11-22,0.41,0.41,0.41,0.41,000,0.41
2013-11-21,0.41,0.41,0.41,0.41,000,0.41
2013-11-20,0.41,0.41,0.41,0.41,000,0.41
2013-11-19,0.41,0.41,0.41,0.41,000,0.41
2013-11-18,0.41,0.41,0.41,0.41,000,0.41
2013-11-15,0.41,0.41,0.41,0.41,000,0.41
2013-11-14,0.41,0.41,0.41,0.41,000,0.41
2013-11-13,0.41,0.41,0.41,0.41,000,0.41
2013-11-12,0.41,0.41,0.41,0.41,000,0.41
2013-11-11,0.41,0.41,0.41,0.41,000,0.41
2013-11-08,0.41,0.41,0.41,0.41,000,0.41
2013-11-07,0.41,0.41,0.41,0.41,000,0.41
2013-11-06,0.41,0.41,0.41,0.41,000,0.41
2013-11-05,0.41,0.41,0.41,0.41,000,0.41
2013-11-04,0.41,0.41,0.41,0.41,000,0.41
2013-11-01,0.41,0.41,0.41,0.41,000,0.41
2013-10-31,0.41,0.41,0.41,0.41,000,0.41
2013-10-30,0.41,0.41,0.41,0.41,000,0.41
2013-10-29,0.41,0.41,0.41,0.41,000,0.41
2013-10-28,0.41,0.41,0.41,0.41,000,0.41
2013-10-25,0.41,0.41,0.41,0.41,000,0.41
2013-10-24,0.41,0.41,0.41,0.41,000,0.41
2013-10-23,0.41,0.41,0.41,0.41,000,0.41
2013-10-22,0.41,0.41,0.41,0.41,000,0.41
2013-10-21,0.41,0.41,0.41,0.41,000,0.41
2013-10-18,0.41,0.41,0.41,0.41,000,0.41
2013-10-17,0.41,0.41,0.41,0.41,000,0.41
2013-10-16,0.41,0.41,0.41,0.41,000,0.41
2013-10-15,0.41,0.41,0.41,0.41,000,0.41
2013-10-14,0.41,0.41,0.41,0.41,000,0.41
2013-10-11,0.41,0.41,0.41,0.41,000,0.41
2013-10-10,0.41,0.41,0.41,0.41,000,0.41
2013-10-09,0.41,0.41,0.41,0.41,000,0.41
2013-10-08,0.41,0.41,0.41,0.41,000,0.41
2013-10-07,0.41,0.41,0.41,0.41,000,0.41
2013-10-04,0.41,0.41,0.41,0.41,000,0.41
2013-10-03,0.41,0.41,0.41,0.41,000,0.41
2013-10-02,0.41,0.41,0.41,0.41,000,0.41
2013-10-01,0.41,0.41,0.41,0.41,000,0.41
2013-09-30,0.41,0.41,0.41,0.41,000,0.41
2013-09-27,0.41,0.41,0.41,0.41,000,0.41
2013-09-26,0.41,0.41,0.41,0.41,000,0.41
2013-09-25,0.41,0.41,0.41,0.41,000,0.41
2013-09-24,0.41,0.41,0.41,0.41,000,0.41
2013-09-23,0.41,0.41,0.41,0.41,000,0.41
2013-09-20,0.41,0.41,0.41,0.41,000,0.41
2013-09-19,0.41,0.41,0.41,0.41,000,0.41
2013-09-18,0.41,0.41,0.41,0.41,000,0.41
2013-09-17,0.41,0.41,0.41,0.41,000,0.41
2013-09-16,0.41,0.41,0.41,0.41,000,0.41
2013-09-13,0.41,0.41,0.41,0.41,000,0.41
2013-09-12,0.41,0.41,0.41,0.41,000,0.41
2013-09-11,0.41,0.41,0.41,0.41,000,0.41
2013-09-10,0.41,0.41,0.41,0.41,000,0.41
2013-09-09,0.41,0.41,0.41,0.41,000,0.41
2013-09-06,0.41,0.41,0.41,0.41,000,0.41
2013-09-05,0.41,0.41,0.41,0.41,000,0.41
2013-09-04,0.41,0.41,0.41,0.41,000,0.41
2013-09-03,0.41,0.41,0.41,0.41,000,0.41
2013-09-02,0.41,0.41,0.41,0.41,000,0.41
2013-08-30,0.41,0.41,0.41,0.41,000,0.41
2013-08-29,0.41,0.41,0.41,0.41,000,0.41
2013-08-28,0.41,0.41,0.41,0.41,000,0.41
2013-08-27,0.41,0.41,0.41,0.41,000,0.41
2013-08-26,0.41,0.41,0.41,0.41,000,0.41
2013-08-23,0.41,0.41,0.41,0.41,000,0.41
2013-08-22,0.41,0.41,0.41,0.41,000,0.41
2013-08-21,0.41,0.41,0.41,0.41,000,0.41
2013-08-20,0.41,0.41,0.41,0.41,000,0.41
2013-08-19,0.41,0.41,0.41,0.41,000,0.41
2013-08-16,0.41,0.41,0.41,0.41,000,0.41
2013-08-15,0.41,0.41,0.41,0.41,000,0.41
2013-08-14,0.41,0.41,0.41,0.41,000,0.41
2013-08-13,0.41,0.41,0.41,0.41,000,0.41
2013-08-12,0.41,0.41,0.41,0.41,000,0.41
2013-08-09,0.41,0.41,0.41,0.41,000,0.41
2013-08-08,0.41,0.41,0.41,0.41,000,0.41
2013-08-07,0.41,0.41,0.41,0.41,000,0.41
2013-08-06,0.41,0.41,0.41,0.41,000,0.41
2013-08-05,0.41,0.41,0.41,0.41,000,0.41
2013-08-02,0.41,0.41,0.41,0.41,000,0.41
2013-08-01,0.41,0.41,0.41,0.41,000,0.41
2013-07-31,0.41,0.41,0.41,0.41,000,0.41
2013-07-30,0.41,0.41,0.41,0.41,000,0.41
2013-07-29,0.41,0.41,0.41,0.41,000,0.41
2013-07-26,0.41,0.41,0.41,0.41,000,0.41
2013-07-25,0.41,0.41,0.41,0.41,000,0.41
2013-07-24,0.41,0.41,0.41,0.41,000,0.41
2013-07-23,0.41,0.41,0.41,0.41,000,0.41
2013-07-22,0.41,0.41,0.41,0.41,000,0.41
2013-07-19,0.41,0.41,0.41,0.41,000,0.41
2013-07-18,0.41,0.41,0.41,0.41,000,0.41
2013-07-17,0.41,0.41,0.41,0.41,000,0.41
2013-07-16,0.41,0.41,0.41,0.41,000,0.41
2013-07-15,0.41,0.41,0.41,0.41,000,0.41
2013-07-12,0.41,0.41,0.41,0.41,000,0.41
2013-07-11,0.41,0.41,0.41,0.41,000,0.41
2013-07-10,0.41,0.41,0.41,0.41,000,0.41
2013-07-09,0.41,0.41,0.41,0.41,000,0.41
2013-07-08,0.41,0.41,0.41,0.41,000,0.41
2013-07-05,0.41,0.41,0.41,0.41,000,0.41
2013-07-04,0.41,0.41,0.41,0.41,000,0.41
2013-07-03,0.41,0.41,0.41,0.41,000,0.41
2013-07-02,0.41,0.41,0.41,0.41,000,0.41
2013-07-01,0.41,0.41,0.41,0.41,000,0.41
2013-06-28,0.41,0.41,0.41,0.41,000,0.41
2013-06-27,0.41,0.41,0.41,0.41,000,0.41
2013-06-26,0.41,0.41,0.41,0.41,000,0.41
2013-06-25,0.41,0.41,0.41,0.41,000,0.41
2013-06-24,0.41,0.41,0.41,0.41,000,0.41
2013-06-21,0.41,0.41,0.41,0.41,000,0.41
2013-06-20,0.41,0.41,0.41,0.41,000,0.41
2013-06-19,0.41,0.41,0.41,0.41,000,0.41
2013-06-18,0.41,0.41,0.41,0.41,000,0.41
2013-06-17,0.41,0.41,0.41,0.41,000,0.41
2013-06-14,0.41,0.41,0.41,0.41,000,0.41
2013-06-13,0.41,0.41,0.41,0.41,000,0.41
2013-06-12,0.41,0.41,0.41,0.41,000,0.41
2013-06-11,0.41,0.41,0.41,0.41,000,0.41
2013-06-10,0.41,0.41,0.41,0.41,000,0.41
2013-06-07,0.41,0.41,0.41,0.41,000,0.41
2013-06-06,0.41,0.41,0.41,0.41,000,0.41
2013-06-05,0.41,0.41,0.41,0.41,000,0.41
2013-06-04,0.41,0.41,0.41,0.41,000,0.41
2013-06-03,0.41,0.41,0.41,0.41,000,0.41
2013-05-31,0.41,0.41,0.41,0.41,000,0.41
2013-05-30,0.41,0.41,0.41,0.41,000,0.41
2013-05-29,0.41,0.41,0.41,0.41,000,0.41
2013-05-28,0.41,0.41,0.41,0.41,000,0.41
2013-05-27,0.41,0.41,0.41,0.41,000,0.41
2013-05-24,0.41,0.41,0.41,0.41,000,0.41
2013-05-23,0.41,0.41,0.41,0.41,000,0.41
2013-05-22,0.41,0.41,0.41,0.41,000,0.41
2013-05-21,0.41,0.41,0.41,0.41,000,0.41
2013-05-20,0.41,0.41,0.41,0.41,000,0.41
2013-05-17,0.41,0.41,0.41,0.41,000,0.41
2013-05-16,0.41,0.41,0.41,0.41,000,0.41
2013-05-15,0.41,0.41,0.41,0.41,000,0.41
2013-05-14,0.41,0.41,0.41,0.41,000,0.41
2013-05-13,0.41,0.41,0.41,0.41,000,0.41
2013-05-10,0.41,0.41,0.41,0.41,000,0.41
2013-05-09,0.41,0.41,0.41,0.41,000,0.41
2013-05-08,0.41,0.41,0.41,0.41,000,0.41
2013-05-07,0.41,0.41,0.41,0.41,000,0.41
2013-05-06,0.41,0.41,0.41,0.41,000,0.41
2013-05-03,0.41,0.41,0.41,0.41,000,0.41
2013-05-02,0.41,0.41,0.41,0.41,000,0.41
2013-05-01,0.41,0.41,0.41,0.41,000,0.41
2013-04-30,0.41,0.41,0.41,0.41,000,0.41
2013-04-29,0.41,0.41,0.41,0.41,000,0.41
2013-04-26,0.41,0.41,0.41,0.41,000,0.41
2013-04-25,0.41,0.41,0.41,0.41,000,0.41
2013-04-24,0.41,0.41,0.41,0.41,000,0.41
2013-04-23,0.41,0.41,0.41,0.41,000,0.41
2013-04-22,0.41,0.41,0.41,0.41,000,0.41
2013-04-19,0.41,0.41,0.41,0.41,000,0.41
2013-04-18,0.41,0.41,0.41,0.41,000,0.41
2013-04-17,0.41,0.41,0.41,0.41,000,0.41
2013-04-16,0.41,0.41,0.41,0.41,000,0.41
2013-04-15,0.41,0.41,0.41,0.41,000,0.41
2013-04-12,0.41,0.41,0.41,0.41,000,0.41
2013-04-11,0.41,0.41,0.41,0.41,000,0.41
2013-04-10,0.41,0.41,0.41,0.41,000,0.41
2013-04-09,0.41,0.41,0.41,0.41,000,0.41
2013-04-08,0.41,0.41,0.41,0.41,000,0.41
2013-04-05,0.41,0.41,0.41,0.41,000,0.41
2013-04-04,0.41,0.41,0.41,0.41,000,0.41
2013-04-03,0.41,0.41,0.41,0.41,000,0.41
2013-04-02,0.41,0.41,0.41,0.41,000,0.41
2013-04-01,0.41,0.41,0.41,0.41,000,0.41
2013-03-29,0.41,0.41,0.41,0.41,000,0.41
2013-03-28,0.41,0.41,0.41,0.41,000,0.41
2013-03-27,0.41,0.41,0.41,0.41,000,0.41
2013-03-26,0.41,0.41,0.41,0.41,000,0.41
2013-03-25,0.41,0.41,0.41,0.41,000,0.41
2013-03-22,0.41,0.41,0.41,0.41,000,0.41
2013-03-21,0.41,0.41,0.41,0.41,000,0.41
2013-03-20,0.41,0.41,0.41,0.41,000,0.41
2013-03-19,0.41,0.41,0.41,0.41,000,0.41
2013-03-18,0.41,0.41,0.41,0.41,000,0.41
2013-03-15,0.41,0.41,0.41,0.41,000,0.41
2013-03-14,0.41,0.41,0.41,0.41,000,0.41
2013-03-13,0.41,0.41,0.41,0.41,000,0.41
2013-03-12,0.41,0.41,0.41,0.41,000,0.41
2013-03-11,0.41,0.41,0.41,0.41,000,0.41
2013-03-08,0.41,0.41,0.41,0.41,000,0.41
2013-03-07,0.41,0.41,0.41,0.41,000,0.41
2013-03-06,0.41,0.41,0.41,0.41,000,0.41
2013-03-05,0.41,0.41,0.41,0.41,000,0.41
2013-03-04,0.41,0.41,0.41,0.41,000,0.41
2013-03-01,0.41,0.41,0.41,0.41,000,0.41
2013-02-28,0.41,0.41,0.41,0.41,000,0.41
2013-02-27,0.41,0.41,0.41,0.41,000,0.41
2013-02-26,0.41,0.41,0.41,0.41,000,0.41
2013-02-25,0.41,0.41,0.41,0.41,000,0.41
2013-02-22,0.41,0.41,0.41,0.41,000,0.41
2013-02-21,0.41,0.41,0.41,0.41,000,0.41
2013-02-20,0.41,0.41,0.41,0.41,000,0.41
2013-02-19,0.41,0.41,0.41,0.41,000,0.41
2013-02-18,0.41,0.41,0.41,0.41,000,0.41
2013-02-15,0.41,0.41,0.41,0.41,000,0.41
2013-02-14,0.41,0.41,0.41,0.41,000,0.41
2013-02-13,0.41,0.41,0.41,0.41,000,0.41
2013-02-12,0.41,0.41,0.41,0.41,000,0.41
2013-02-11,0.41,0.41,0.41,0.41,000,0.41
2013-02-08,0.41,0.41,0.41,0.41,000,0.41
2013-02-07,0.41,0.41,0.41,0.41,000,0.41
2013-02-06,0.41,0.41,0.41,0.41,000,0.41
2013-02-05,0.41,0.41,0.41,0.41,000,0.41
2013-02-04,0.41,0.41,0.41,0.41,000,0.41
2013-02-01,0.41,0.41,0.41,0.41,000,0.41
2013-01-31,0.41,0.41,0.41,0.41,000,0.41
2013-01-30,0.41,0.41,0.41,0.41,000,0.41
2013-01-29,0.41,0.41,0.41,0.41,000,0.41
2013-01-28,0.41,0.41,0.41,0.41,000,0.41
2013-01-25,0.41,0.41,0.41,0.41,000,0.41
2013-01-24,0.41,0.41,0.41,0.41,000,0.41
2013-01-22,0.41,0.41,0.41,0.41,000,0.41
2013-01-21,0.41,0.41,0.41,0.41,000,0.41
2013-01-18,0.41,0.41,0.41,0.41,000,0.41
2013-01-17,0.41,0.41,0.41,0.41,000,0.41
2013-01-16,0.41,0.41,0.41,0.41,000,0.41
2013-01-15,0.41,0.41,0.41,0.41,000,0.41
2013-01-14,0.41,0.41,0.41,0.41,000,0.41
2013-01-11,0.41,0.41,0.41,0.41,000,0.41
2013-01-10,0.41,0.41,0.41,0.41,000,0.41
2013-01-09,0.41,0.41,0.41,0.41,000,0.41
2013-01-08,0.41,0.41,0.41,0.41,000,0.41
2013-01-07,0.41,0.41,0.41,0.41,000,0.41
2013-01-04,0.41,0.41,0.41,0.41,000,0.41
2013-01-03,0.41,0.41,0.41,0.41,000,0.41
2013-01-02,0.41,0.41,0.41,0.41,000,0.41
2013-01-01,0.41,0.41,0.41,0.41,000,0.41
2012-12-31,0.41,0.41,0.41,0.41,000,0.41
2012-12-28,0.41,0.41,0.41,0.41,000,0.41
2012-12-27,0.41,0.41,0.41,0.41,000,0.41
2012-12-26,0.41,0.41,0.41,0.41,000,0.41
2012-12-25,0.41,0.41,0.41,0.41,000,0.41
2012-12-24,0.41,0.41,0.41,0.41,000,0.41
2012-12-21,0.41,0.41,0.41,0.41,000,0.41
2012-12-20,0.41,0.41,0.41,0.41,000,0.41
2012-12-19,0.41,0.41,0.41,0.41,000,0.41
2012-12-18,0.41,0.41,0.41,0.41,000,0.41
2012-12-17,0.41,0.41,0.41,0.41,000,0.41
2012-12-14,0.41,0.41,0.41,0.41,000,0.41
2012-12-13,0.41,0.41,0.41,0.41,000,0.41
2012-12-12,0.41,0.41,0.41,0.41,000,0.41
2012-12-11,0.41,0.41,0.41,0.41,000,0.41
2012-12-10,0.41,0.41,0.41,0.41,000,0.41
2012-12-07,0.41,0.41,0.41,0.41,000,0.41
2012-12-06,0.41,0.41,0.41,0.41,000,0.41
2012-12-05,0.41,0.41,0.41,0.41,000,0.41
2012-12-04,0.41,0.41,0.41,0.41,000,0.41
2012-12-03,0.41,0.41,0.41,0.41,000,0.41
2012-11-30,0.41,0.41,0.41,0.41,000,0.41
2012-11-29,0.41,0.41,0.41,0.41,000,0.41
2012-11-28,0.41,0.41,0.41,0.41,000,0.41
2012-11-27,0.41,0.41,0.41,0.41,000,0.41
2012-11-26,0.41,0.41,0.41,0.41,000,0.41
2012-11-23,0.41,0.41,0.41,0.41,000,0.41
2012-11-22,0.41,0.41,0.41,0.41,000,0.41
2012-11-21,0.41,0.41,0.41,0.41,000,0.41
2012-11-20,0.41,0.41,0.41,0.41,000,0.41
2012-11-19,0.41,0.41,0.41,0.41,000,0.41
2012-11-16,0.41,0.41,0.41,0.41,000,0.41
2012-11-15,0.41,0.41,0.41,0.41,000,0.41
2012-11-14,0.41,0.41,0.41,0.41,000,0.41
2012-11-13,0.41,0.41,0.41,0.41,000,0.41
2012-11-12,0.41,0.41,0.41,0.41,000,0.41
2012-11-09,0.41,0.41,0.41,0.41,000,0.41
2012-11-08,0.41,0.41,0.41,0.41,000,0.41
2012-11-07,0.41,0.41,0.41,0.41,000,0.41
2012-11-06,0.41,0.41,0.41,0.41,000,0.41
2012-11-05,0.41,0.41,0.41,0.41,000,0.41
2012-11-02,0.41,0.41,0.41,0.41,000,0.41
2012-11-01,0.41,0.41,0.41,0.41,000,0.41
2012-10-31,0.41,0.41,0.41,0.41,000,0.41
2012-10-30,0.41,0.41,0.41,0.41,000,0.41
2012-10-29,0.41,0.41,0.41,0.41,000,0.41
2012-10-26,0.41,0.41,0.41,0.41,000,0.41
2012-10-25,0.41,0.41,0.41,0.41,000,0.41
2012-10-24,0.41,0.41,0.41,0.41,000,0.41
